leadtime,number,time,tprate
5,1,2016-02-01,3.0837320215076818
5,2,1982-02-01,1.0136051207276544
5,2,1983-02-01,3.1517538512920447
5,2,1984-02-01,3.7216280218346114
5,2,1985-02-01,3.9605272582460795
5,2,1986-02-01,2.734431652403355
5,2,1987-02-01,0.8102406760170088
5,2,1988-02-01,2.062486621454824
5,2,1989-02-01,3.9326742368069008
5,2,1990-02-01,3.0006773797537822
5,2,1991-02-01,1.9267715838968378
5,2,1992-02-01,1.8416344395195683
5,2,1993-02-01,3.049582808147367
5,2,1994-02-01,1.563098804072429
5,2,1995-02-01,2.675535333054077
5,2,1996-02-01,2.4312735585874417
5,2,1997-02-01,1.8450661177311973
5,2,1998-02-01,1.7763987295661199
5,2,1999-02-01,2.885879181690172
5,2,2000-02-01,2.390528970318173
5,2,2001-02-01,3.182497899232999
5,2,2002-02-01,4.757852663924787
5,2,2003-02-01,1.7252781431512012
5,2,2004-02-01,1.562077804114556
5,2,2005-02-01,3.0507147662620686
5,2,2006-02-01,1.0351022373106964
5,2,2007-02-01,2.183146632524646
5,2,2008-02-01,1.7784252648282337
5,2,2009-02-01,3.925558590369884
5,2,2010-02-01,2.423265971383086
5,2,2011-02-01,2.7084881270163472
5,2,2012-02-01,1.809789097344635
5,2,2013-02-01,2.1758581415269553
5,2,2014-02-01,1.6370597267591152
5,2,2015-02-01,2.8426503424852214
5,2,2016-02-01,2.0073062022394303
5,3,1982-02-01,2.525833653313588
5,3,1983-02-01,2.337126069060615
5,3,1984-02-01,1.4818467117461749
5,3,1985-02-01,3.6175864445062405
5,3,1986-02-01,0.8171271246837746
5,3,1987-02-01,3.1864055969818708
5,3,1988-02-01,2.254202476800015
5,3,1989-02-01,2.038034382569763
5,3,1990-02-01,2.3531182335500826
5,3,1991-02-01,2.3554425816929903
5,3,1992-02-01,4.102365467919415
5,3,1993-02-01,2.3780302039121333
5,3,1994-02-01,3.692807331877539
5,3,1995-02-01,3.7367915943002203
5,3,1996-02-01,3.682981555240804
5,3,1997-02-01,2.6874818846646775
5,3,1998-02-01,2.8127069179062976
5,3,1999-02-01,2.8355340878990964
5,3,2000-02-01,2.51095814022958
5,3,2001-02-01,1.8948368821854098
5,3,2002-02-01,2.6712282848400157
5,3,2003-02-01,3.5652137874837306
5,3,2004-02-01,3.586675919885523
5,3,2005-02-01,2.762662695979643
5,3,2006-02-01,2.3756953090876123
5,3,2007-02-01,1.8465031528375655
5,3,2008-02-01,2.442905596137119
5,3,2009-02-01,0.6340175687800897
